2026-01-13 20:45:28.364 | INFO     | ReportEngine.flask_interface:initialize_report_engine:32 - Report Engine初始化成功
2026-01-13 20:50:44.392 | INFO     | ReportEngine.agent:initialize_baseline:62 - 文件数量基准已初始化: {'insight': 3, 'media': 3, 'query': 3}
2026-01-13 20:50:44.394 | INFO     | ReportEngine.agent:__init__:143 - Report Agent已初始化
2026-01-13 20:50:44.394 | INFO     | ReportEngine.agent:__init__:144 - 使用LLM: {'provider': 'qwen-long-latest', 'model': 'qwen-long-latest', 'api_base': 'https://dashscope.aliyuncs.com/compatible-mode/v1'}
2026-01-13 20:50:44.394 | INFO     | ReportEngine.flask_interface:initialize_report_engine:32 - Report Engine初始化成功
2026-01-13 21:01:10.975 | INFO     | __main__:stop_forum_engine:350 - ForumEngine: 停止论坛...
2026-01-13 21:01:11.745 | INFO     | ForumEngine.monitor:monitor_logs:702 - ForumEngine: 停止论坛日志文件
2026-01-13 21:02:07.434 | INFO     | ReportEngine.agent:initialize_baseline:62 - 文件数量基准已初始化: {'insight': 3, 'media': 3, 'query': 3}
2026-01-13 21:02:07.434 | INFO     | ReportEngine.agent:__init__:143 - Report Agent已初始化
2026-01-13 21:02:07.434 | INFO     | ReportEngine.agent:__init__:144 - 使用LLM: {'provider': 'qwen-long-latest', 'model': 'qwen-long-latest', 'api_base': 'https://dashscope.aliyuncs.com/compatible-mode/v1'}
2026-01-13 21:02:07.435 | INFO     | ReportEngine.flask_interface:initialize_report_engine:32 - Report Engine初始化成功
2026-01-13 21:08:49.731 | INFO     | ReportEngine.agent:initialize_baseline:62 - 文件数量基准已初始化: {'insight': 3, 'media': 3, 'query': 3}
2026-01-13 21:08:49.731 | INFO     | ReportEngine.agent:__init__:143 - Report Agent已初始化
2026-01-13 21:08:49.731 | INFO     | ReportEngine.agent:__init__:144 - 使用LLM: {'provider': 'qwen-long-latest', 'model': 'qwen-long-latest', 'api_base': 'https://dashscope.aliyuncs.com/compatible-mode/v1'}
2026-01-13 21:08:49.732 | INFO     | ReportEngine.flask_interface:initialize_report_engine:32 - Report Engine初始化成功
2026-01-13 21:11:43.861 | INFO     | ReportEngine.agent:initialize_baseline:62 - 文件数量基准已初始化: {'insight': 3, 'media': 3, 'query': 3}
2026-01-13 21:11:43.863 | INFO     | ReportEngine.agent:__init__:143 - Report Agent已初始化
2026-01-13 21:11:43.863 | INFO     | ReportEngine.agent:__init__:144 - 使用LLM: {'provider': 'qwen-long-latest', 'model': 'qwen-long-latest', 'api_base': 'https://dashscope.aliyuncs.com/compatible-mode/v1'}
2026-01-13 21:11:43.863 | INFO     | ReportEngine.flask_interface:initialize_report_engine:32 - Report Engine初始化成功
2026-01-13 21:16:53.586 | INFO     | __main__:stop_forum_engine:350 - ForumEngine: 停止论坛...
2026-01-13 21:16:53.750 | INFO     | ForumEngine.monitor:monitor_logs:702 - ForumEngine: 停止论坛日志文件
2026-01-13 21:17:29.725 | INFO     | ReportEngine.agent:initialize_baseline:62 - 文件数量基准已初始化: {'insight': 3, 'media': 3, 'query': 3}
2026-01-13 21:17:29.727 | INFO     | ReportEngine.agent:__init__:143 - Report Agent已初始化
2026-01-13 21:17:29.727 | INFO     | ReportEngine.agent:__init__:144 - 使用LLM: {'provider': 'qwen-long-latest', 'model': 'qwen-long-latest', 'api_base': 'https://dashscope.aliyuncs.com/compatible-mode/v1'}
2026-01-13 21:17:29.727 | INFO     | ReportEngine.flask_interface:initialize_report_engine:32 - Report Engine初始化成功
